personagem,pergunta,sim,nao
Mario,p1,2,0
Mario,p2,2,0
Mario,p3,0,2
Mario,p4,0,2
Mario,p5,0,2
Mario,p6,0,2
Mario,p7,0,2
Mario,p8,0,2
Mario,p9,0,2
Mario,p10,0,2
Mario,p11,2,0
Mario,p12,0,2
Mario,p13,2,0
Mario,p14,0,2
Mario,p15,0,2
Mario,p16,0,2
Mario,p17,2,0
Mario,p18,0,2
Mario,p19,0,2
Mario,p20,0,2
Mario,p21,0,1
Mario,p22,0,1
Mario,p23,0,1
Bowser,p1,0,1
Bowser,p2,1,0
Bowser,p3,0,1
Bowser,p4,1,0
Bowser,p5,1,0
Bowser,p6,1,0
Bowser,p7,0,1
Bowser,p8,0,1
Bowser,p9,0,1
Bowser,p10,0,1
Bowser,p11,0,1
Bowser,p12,1,0
Bowser,p13,0,1
Bowser,p14,0,1
Bowser,p15,0,1
Bowser,p16,0,1
Bowser,p17,0,1
Bowser,p18,0,1
Bowser,p19,1,0
Bowser,p20,0,1
Bob Esponja,p1,0,3
Bob Esponja,p2,0,3
Bob Esponja,p3,0,3
Bob Esponja,p4,0,3
Bob Esponja,p5,0,3
Bob Esponja,p6,0,3
Bob Esponja,p7,0,3
Bob Esponja,p8,0,3
Bob Esponja,p9,0,3
Bob Esponja,p10,3,0
Bob Esponja,p11,0,3
Bob Esponja,p12,0,3
Bob Esponja,p13,0,3
Bob Esponja,p14,0,2
Bob Esponja,p15,0,2
Bob Esponja,p16,0,2
Bob Esponja,p17,0,2
Bob Esponja,p18,0,2
Bob Esponja,p19,0,2
Bob Esponja,p20,0,2
Homem-Aranha,p1,2,0
Homem-Aranha,p2,0,2
Homem-Aranha,p3,0,2
Homem-Aranha,p4,0,2
Homem-Aranha,p5,0,2
Homem-Aranha,p6,0,2
Homem-Aranha,p7,2,0
Homem-Aranha,p8,0,2
Homem-Aranha,p9,0,2
Homem-Aranha,p10,0,2
Homem-Aranha,p11,0,2
Homem-Aranha,p12,0,2
Homem-Aranha,p13,0,2
Homem-Aranha,p14,0,2
Homem-Aranha,p15,2,0
Homem-Aranha,p16,0,2
Homem-Aranha,p17,2,0
Homem-Aranha,p18,0,2
Homem-Aranha,p19,0,2
Homem-Aranha,p20,0,2
Harry Potter,p1,1,0
Harry Potter,p2,0,1
